,Positive,Negative
Topic 1,64.63644948064211,35.36355051935789
Topic 2,43.15750186613585,56.84249813386415
Topic 3,49.26324325009186,50.73675674990814
Topic 4,45.870288248337026,54.12971175166297
Topic 5,69.63494408102974,30.365055918970246
Topic 6,53.77431906614786,46.22568093385214
